subject,ID,manual_cl,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMPI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold,eeg_cl_fzpz34,eeg_cl_fz34pz34,eeg_cl_fzpz
13,11,5.0,10,27,11,2,5,6,10,27,11,2,4,12,1.183289095296187,2.2181838992760925,
13,12,5.0,5,17,7,3,8,6,5,16,7,3,4,8,1.254085224333758,1.8048856377709503,
13,13,4.0,8,16,6,3,7,5,8,15,6,3,4,7,0.9381902128132826,1.4147798355762495,
14,1,4.0,10,12,6,2,7,6,10,12,6,2,4,7,4.334301038744705,2.254612473982625,8.97192098525104
14,2,2.0,10,10,6,2,6,5,10,10,6,2,4,9,5.3679168898829985,3.1451762679428743,11.146979310071226
14,3,3.0,7,13,6,2,6,5,7,12,6,2,4,10,2.224509998903647,1.382505821471192,4.774453921573006
14,4,5.0,15,17,8,2,8,7,15,17,8,2,4,9,5.493589390331653,2.7724488553623874,11.511852179085402
14,5,4.0,15,18,9,3,10,5,15,18,9,3,5,10,3.314943592202177,1.7365261728297965,7.9797931030998495
14,6,2.0,4,21,5,4,5,11,4,20,11,5,4,13,2.407612597244279,1.4949795300447188,5.262631083112031
14,7,5.0,6,23,7,2,13,10,6,21,7,2,4,10,3.2928418639379093,1.7951070551806307,7.927628422955537
14,8,2.0,4,7,6,1,2,3,5,7,6,1,3,6,,,
14,9,2.0,12,12,9,7,14,8,12,12,9,7,4,7,2.5618423389966707,1.4143583182412558,6.898690194716434
14,10,6.0,15,23,9,3,10,8,15,23,9,3,4,11,3.078485046266845,1.7427577573935724,6.9356086659060425
14,11,2.0,10,27,11,2,5,6,10,27,11,2,4,12,2.152779102872831,1.3258223878942228,5.4662367727786165
14,12,2.0,5,17,7,3,8,6,5,16,7,3,4,8,2.1990830197237363,1.443488326271135,5.117059335128042
14,13,2.0,8,16,6,3,7,5,8,15,6,3,4,7,3.3811795428003184,2.290936764239652,8.53958047390377
15,1,3.0,10,12,6,2,7,6,10,12,6,2,4,7,2.7330176803110793,1.8227901984489447,2.7657612888344163
15,2,4.0,10,10,6,2,6,5,10,10,6,2,4,9,2.8220058457058093,2.2089050172719515,3.164696151151737
15,3,3.0,7,13,6,2,6,5,7,12,6,2,4,10,6.411809340008214,3.944397569783344,9.231161295049292
