subject,ID,rating,DD,Halstead,LOC,Cyclomatic,CCCPPD,CCCPMDI,DDold,Halsteadold,LOCold,Cyclomaticold,CCCPPDold,CCCPMPIold
14,2,2,10,12,6,2,7,6,10,12,6,2,4,9
14,3,3,7,13,6,2,6,5,7,12,6,2,4,10
14,4,5,15,17,8,2,8,7,15,17,8,2,4,9
14,5,4,15,18,9,3,10,5,15,18,9,3,5,10
14,6,2,4,21,5,4,5,11,4,20,11,5,4,13
14,7,5,6,23,7,2,13,10,6,21,7,2,4,10
14,8,2,4,7,6,1,2,3,5,7,6,1,3,6
14,9,2,12,12,9,7,14,8,12,12,9,7,4,7
14,10,6,15,23,9,3,10,8,15,23,9,3,4,11
14,11,2,10,27,11,2,5,6,10,27,11,2,4,12
14,12,2,5,17,7,3,8,6,5,16,7,3,4,8
14,13,2,8,16,6,3,7,5,8,15,6,3,4,7
15,1,3,10,10,6,2,6,5,10,10,6,2,4,7
15,2,4,10,12,6,2,7,6,10,12,6,2,4,9
15,3,3,7,13,6,2,6,5,7,12,6,2,4,10
15,4,4,15,17,8,2,8,7,15,17,8,2,4,9
15,5,8,15,18,9,3,10,5,15,18,9,3,5,10
15,6,3,4,21,5,4,5,11,4,20,11,5,4,13
15,7,5,6,23,7,2,13,10,6,21,7,2,4,10
15,8,2,4,7,6,1,2,3,5,7,6,1,3,6
15,9,2,12,12,9,7,14,8,12,12,9,7,4,7
15,10,7,15,23,9,3,10,8,15,23,9,3,4,11
15,11,5,10,27,11,2,5,6,10,27,11,2,4,12
15,12,4,5,17,7,3,8,6,5,16,7,3,4,8
15,13,2,8,16,6,3,7,5,8,15,6,3,4,7
16,1,5,10,10,6,2,6,5,10,10,6,2,4,7
16,2,2,10,12,6,2,7,6,10,12,6,2,4,9
16,3,5,7,13,6,2,6,5,7,12,6,2,4,10
16,4,5,15,17,8,2,8,7,15,17,8,2,4,9
16,5,7,15,18,9,3,10,5,15,18,9,3,5,10
16,6,4,4,21,5,4,5,11,4,20,11,5,4,13
16,7,6,6,23,7,2,13,10,6,21,7,2,4,10
16,8,1,4,7,6,1,2,3,5,7,6,1,3,6
16,9,2,12,12,9,7,14,8,12,12,9,7,4,7
16,10,7,15,23,9,3,10,8,15,23,9,3,4,11
16,11,4,10,27,11,2,5,6,10,27,11,2,4,12
16,12,4,5,17,7,3,8,6,5,16,7,3,4,8
16,13,3,8,16,6,3,7,5,8,15,6,3,4,7
17,1,8,10,10,6,2,6,5,10,10,6,2,4,7
17,2,8,10,12,6,2,7,6,10,12,6,2,4,9
17,3,7,7,13,6,2,6,5,7,12,6,2,4,10
17,4,5,15,17,8,2,8,7,15,17,8,2,4,9
17,5,7,15,18,9,3,10,5,15,18,9,3,5,10
17,6,7,4,21,5,4,5,11,4,20,11,5,4,13
17,7,7,6,23,7,2,13,10,6,21,7,2,4,10
17,8,7,4,7,6,1,2,3,5,7,6,1,3,6
17,9,8,12,12,9,7,14,8,12,12,9,7,4,7
17,10,5,15,23,9,3,10,8,15,23,9,3,4,11
17,11,8,10,27,11,2,5,6,10,27,11,2,4,12
17,12,6,5,17,7,3,8,6,5,16,7,3,4,8
17,13,6,8,16,6,3,7,5,8,15,6,3,4,7
18,1,1,10,10,6,2,6,5,10,10,6,2,4,7
18,2,3,10,12,6,2,7,6,10,12,6,2,4,9
18,3,2,7,13,6,2,6,5,7,12,6,2,4,10
18,4,3,15,17,8,2,8,7,15,17,8,2,4,9
18,5,3,15,18,9,3,10,5,15,18,9,3,5,10
18,6,3,4,21,5,4,5,11,4,20,11,5,4,13
18,7,3,6,23,7,2,13,10,6,21,7,2,4,10
18,8,3,4,7,6,1,2,3,5,7,6,1,3,6
18,9,2,12,12,9,7,14,8,12,12,9,7,4,7
18,10,5,15,23,9,3,10,8,15,23,9,3,4,11
18,11,2,10,27,11,2,5,6,10,27,11,2,4,12
18,12,2,5,17,7,3,8,6,5,16,7,3,4,8
18,13,3,8,16,6,3,7,5,8,15,6,3,4,7
19,1,7,10,10,6,2,6,5,10,10,6,2,4,7
19,2,3,10,12,6,2,7,6,10,12,6,2,4,9
19,3,4,7,13,6,2,6,5,7,12,6,2,4,10
19,4,6,15,17,8,2,8,7,15,17,8,2,4,9
19,5,5,15,18,9,3,10,5,15,18,9,3,5,10
19,6,3,4,21,5,4,5,11,4,20,11,5,4,13
19,7,7,6,23,7,2,13,10,6,21,7,2,4,10
19,8,3,4,7,6,1,2,3,5,7,6,1,3,6
19,9,2,12,12,9,7,14,8,12,12,9,7,4,7
19,10,7,15,23,9,3,10,8,15,23,9,3,4,11
19,11,5,10,27,11,2,5,6,10,27,11,2,4,12
19,12,5,5,17,7,3,8,6,5,16,7,3,4,8
19,13,4,8,16,6,3,7,5,8,15,6,3,4,7
20,1,7,10,10,6,2,6,5,10,10,6,2,4,7
20,2,1,10,12,6,2,7,6,10,12,6,2,4,9
20,3,1,7,13,6,2,6,5,7,12,6,2,4,10
20,4,3,15,17,8,2,8,7,15,17,8,2,4,9
20,5,5,15,18,9,3,10,5,15,18,9,3,5,10
20,6,3,4,21,5,4,5,11,4,20,11,5,4,13
20,7,8,6,23,7,2,13,10,6,21,7,2,4,10
20,8,4,4,7,6,1,2,3,5,7,6,1,3,6
20,9,1,12,12,9,7,14,8,12,12,9,7,4,7
20,10,9,15,23,9,3,10,8,15,23,9,3,4,11
20,11,3,10,27,11,2,5,6,10,27,11,2,4,12
20,12,7,5,17,7,3,8,6,5,16,7,3,4,8
20,13,4,8,16,6,3,7,5,8,15,6,3,4,7
21,1,2,10,10,6,2,6,5,10,10,6,2,4,7
21,2,2,10,12,6,2,7,6,10,12,6,2,4,9
21,3,2,7,13,6,2,6,5,7,12,6,2,4,10
21,4,2,15,17,8,2,8,7,15,17,8,2,4,9
21,5,1,15,18,9,3,10,5,15,18,9,3,5,10
21,6,3,4,21,5,4,5,11,4,20,11,5,4,13
21,7,5,6,23,7,2,13,10,6,21,7,2,4,10
21,8,2,4,7,6,1,2,3,5,7,6,1,3,6
21,9,2,12,12,9,7,14,8,12,12,9,7,4,7
21,10,8,15,23,9,3,10,8,15,23,9,3,4,11
21,11,4,10,27,11,2,5,6,10,27,11,2,4,12
21,12,3,5,17,7,3,8,6,5,16,7,3,4,8
21,13,3,8,16,6,3,7,5,8,15,6,3,4,7
