Participant,Channel,ChanIdx,AvgCorr,ZCorr,RansacCorr
P8,F3,6,0.366223077362533,-1.67045589278605,0.905121694605504
P8,F7,7,0.448253166367369,0.199418608017706,-0.0103813986145764
P8,T4,8,0.23090448935733,-4.75504083308501,1
P8,C4,9,0.269781950502095,-3.86882975941056,0.953211434626963
P8,Cz,10,0.542336854622075,2.34405470122827,0.95357858184028
P8,C3,11,0.273299466799135,-3.78864803451192,1
P8,T3,12,0.235731728681526,-4.64500399378499,1
P8,T6,13,0.45329103106551,0.314256649178407,0.951390803077522
P8,P4,14,0.476286775869753,0.838444265674959,0.99951263856232
P8,Pz,15,0.424968673472517,-0.331351016353464,-0.0782515553757153
P8,P3,16,0.464650326906699,0.573191607048238,0.981497665544134
P8,T5,17,0.439504811246273,0,0.974514240545103
P8,O2,18,0.482592190398076,0.982176083920495,0.977028096766824
P8,O1,19,0.47582975077339,0.828026386281133,0.929337634746862
P9,Fp2,1,0.669226829497522,0.97548958669832,0.926632201145497
P9,Fp1,2,0.692561474541836,1.24741972688694,0.96358557215913
P9,F8,3,0.488295801528249,-1.132989016971,1
P9,F4,4,0.483321342724823,-1.19095884154768,0.85128697562477
P9,Fz,5,0.470765657633199,-1.33727643929324,0.795571785242025
P9,F3,6,0.533409635212991,-0.607255238075275,0.968706066311397
P9,F7,7,0.670448488879474,0.989726186670847,0.229113849565418
P9,T4,8,0.39137651636177,-2.26243730093891,1
P9,C4,9,0.510872253694435,-0.869894472749144,0.989342358793282
P9,Cz,10,0.671330096880415,1,0.984867862647809
P9,C3,11,0.431984716061699,-1.7892098995262,1
P9,T3,12,0.368277187894646,-2.53162518086591,1
P9,T6,13,0.585518921156647,0,0.978370177768414
P9,P4,14,0.678787744357228,1.08690764826274,0.999852400396456
P9,Pz,15,0.645554206665024,0.69962082446737,-0.547996517554957
P9,P3,16,0.638522052609055,0.617671661125225,0.992765626858126
P9,T5,17,0.582908560163259,-0.0304198255223811,0.981270703419285
P9,O2,18,0.680732626688719,1.10957232235777,0.997025661177935
P9,O1,19,0.668066882408881,0.961972150550198,0.96364714129093
P10,Fp2,1,0.588940000351197,0.973833611848868,0.979574703279816
P10,Fp1,2,0.597758927483636,1.20373022809768,0.969707098844393
P10,F8,3,0.551818163720534,0.00612126972752751,0.992041101254982
P10,F4,4,0.413656929598784,-3.59554135253334,0.602330776655051
P10,Fz,5,0.507937383236288,-1.13778691776356,0.92518285643941
P10,F3,6,0.366222945979953,-4.83207638286124,1
P10,F7,7,0.574375632390675,0.594161701463068,0.86821219444929
P10,T4,8,0.467484346772894,-2.19233879921801,1
P10,C4,9,0.495941721819987,-1.45049638092827,1
P10,Cz,10,0.570400443763728,0.490534309994531,0.998616470319323
P10,C3,11,0.429044027860139,-3.19442205864993,1
P10,T3,12,0.465423321124073,-2.24606674316746,1
P10,T6,13,0.551583349339331,0,0.973234733886647
P10,P4,14,0.552195979871393,0.0159703878052923,0.926206001287692
